Status,Confidence,Hash Distance,Reference Image,HD Match,Output File
Matched,High,4,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Walk Around\646 Walk Around\646-walk-around-card.jpg,C:\Users\JamesCody\Inverloch Marine\Data - Documents\A SALES RELATED\EXTREME BOATS\Extreme Boat Photos\646 Walk Around\3_2\646 Walk Around_03.jpg,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\Brand Photos\Extreme\Walk Around\646 Walk Around\646 Walk Around_001.jpg
Matched,Medium,8,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Walk Around\646 Walk Around\646-walk-around-gallery-01.jpg,C:\Users\JamesCody\Inverloch Marine\Data - Documents\A SALES RELATED\EXTREME BOATS\Extreme Boat Photos\646 Walk Around\3_2\646 Walk Around_02.jpg,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\Brand Photos\Extreme\Walk Around\646 Walk Around\646 Walk Around_002.jpg
Unmatched,No Match,12,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Walk Around\646 Walk Around\646-walk-around-gallery-02.jpg,,
Matched,High,6,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Walk Around\646 Walk Around\646-walk-around-gallery-03.jpg,C:\Users\JamesCody\Inverloch Marine\Data - Documents\A SALES RELATED\EXTREME BOATS\Extreme Boat Photos\646 Walk Around\3_2\646 Walk Around_07.jpg,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\Brand Photos\Extreme\Walk Around\646 Walk Around\646 Walk Around_003.jpg
Unmatched,No Match,16,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Walk Around\646 Walk Around\646-walk-around-gallery-04.jpg,,
Matched,High,6,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Walk Around\646 Walk Around\646-walk-around-gallery-05.jpg,C:\Users\JamesCody\Inverloch Marine\Data - Documents\A SALES RELATED\EXTREME BOATS\Extreme Boat Photos\646 Walk Around\3_2\646 Walk Around_04.jpg,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\Brand Photos\Extreme\Walk Around\646 Walk Around\646 Walk Around_004.jpg
Unmatched,No Match,16,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Walk Around\646 Walk Around\646-walk-around-gallery-06.jpg,,
Matched,Medium,10,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Walk Around\646 Walk Around\646-walk-around-gallery-07.jpg,C:\Users\JamesCody\Inverloch Marine\Data - Documents\A SALES RELATED\EXTREME BOATS\Extreme Boat Photos\646 Walk Around\3_2\646 Walk Around_10.jpg,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\Brand Photos\Extreme\Walk Around\646 Walk Around\646 Walk Around_005.jpg
Unmatched,No Match,16,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Walk Around\646 Walk Around\646-walk-around-gallery-08.jpg,,
Unmatched,No Match,14,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Walk Around\646 Walk Around\646-walk-around-gallery-09.jpg,,
Unmatched,No Match,16,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Walk Around\646 Walk Around\646-walk-around-hero.jpg,,
