Reference Image,Closest Hash Distance,Confidence
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Walk Around\646 Walk Around\646-walk-around-gallery-02.jpg,12,No Match
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Walk Around\646 Walk Around\646-walk-around-gallery-04.jpg,16,No Match
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Walk Around\646 Walk Around\646-walk-around-gallery-06.jpg,16,No Match
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Walk Around\646 Walk Around\646-walk-around-gallery-08.jpg,16,No Match
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Walk Around\646 Walk Around\646-walk-around-gallery-09.jpg,14,No Match
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Walk Around\646 Walk Around\646-walk-around-hero.jpg,16,No Match
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Walk Around\745 Walk Around\745-walk-around-hero.jpg,14,No Match
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Walk Around\795 Walk Around\795-walk-around-gallery-06.jpg,12,No Match
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Walk Around\795 Walk Around\795-walk-around-gallery-07.jpg,14,No Match
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Walk Around\795 Walk Around\795-walk-around-gallery-09.jpg,16,No Match
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Walk Around\795 Walk Around\795-walk-around-hero.jpg,18,No Match
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Walk Around\915 Walk Around\915-walk-around-gallery-05.jpg,16,No Match
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Sport Fisher\545 Sport Fisher\545-sport-fisher-gallery-02.jpg,14,No Match
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Sport Fisher\545 Sport Fisher\545-sport-fisher-gallery-05.jpg,18,No Match
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Sport Fisher\545 Sport Fisher\545-sport-fisher-gallery-06.jpg,16,No Match
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Sport Fisher\545 Sport Fisher\545-sport-fisher-gallery-07.jpg,18,No Match
